feature,direction,auc_late_-4..-1,auc_early_-16..-9,auc_veryearly_-32..-17,earliest_sig_offset,lead_min_vs_1h_close,onesample_earliest_offset,onesample_lead_min,hit_rate_fpr10,fpr,median_trigger_lead_min,symbol_consistency,n_symbols,succ_vs_fail_auc,recommendation,signed_auc_late,redundant_with
macd_hist,+,0.6801384884107796,0.5564587436894561,0.513972768375918,-14.0,255.0,-22.0,375.0,0.16472749540722598,0.09887885393958268,240.0,0.9629629629629629,54,0.4833802690699628,KEEP,0.6801384884107796,
pullback_depth_32,-,0.3244072991459143,0.4947987967708705,0.5469857350810703,-9.0,180.0,-11.0,210.0,0.07409675443968157,0.09887885393958268,300.0,1.0,54,0.5120144398621332,KEEP,0.6755927008540856,
atr_pctile_480,+,0.6089765568356028,0.5800667215947393,0.5753967188995835,-32.0,525.0,-31.0,510.0,0.1879975505205144,0.09887885393958268,330.0,0.9444444444444444,54,0.5170560948227758,KEEP,0.6089765568356028,
higher_low_freq_16,+,0.5996339294251201,0.4942396509238468,0.4710132513672554,-7.0,150.0,-8.0,165.0,0.12614819350887937,0.1253503581438804,337.5,0.8888888888888888,54,0.4865265189015319,KEEP,0.5996339294251201,
trade_count_z,+,0.5897798182791442,0.5265436335479522,0.5208873860847218,-9.0,180.0,-24.0,405.0,0.11635027556644213,0.09887885393958268,240.0,0.8518518518518519,54,0.5016080897865481,KEEP,0.5897798182791442,
donchian_width_96,+,0.5854421350505157,0.5730014517497302,0.5488778642631849,-27.0,450.0,-32.0,525.0,0.14880587875076545,0.09887885393958268,525.0,0.8703703703703703,54,0.5129503170771201,KEEP,0.5854421350505157,
hv_48,+,0.5836276620650324,0.5661485686421086,0.553561846482156,-32.0,525.0,-3.0,90.0,0.15615431720759337,0.09887885393958268,330.0,0.8148148148148148,54,0.5120541782545789,KEEP,0.5836276620650324,
clv,+,0.5810392488131052,0.5113620768260794,0.4944093196025727,-4.0,105.0,-7.0,150.0,0.09552969993876301,0.09887885393958268,367.5,0.9814814814814815,54,0.5058566120607741,KEEP,0.5810392488131052,
rsi_14,+,0.6676109960165586,0.5008996351959077,0.4536753127783253,-8.0,165.0,-10.0,195.0,0.07042253521126761,0.09903456867019621,240.0,1.0,54,0.4844869737434283,TEST FURTHER,0.6676109960165586,pullback_depth_32
roc_8,+,0.6640013132135371,0.5305706958922206,0.4842065469540412,-11.0,210.0,-13.0,240.0,0.11696264543784446,0.09887885393958268,195.0,1.0,54,0.4889854331837292,TEST FURTHER,0.6640013132135371,macd_hist
ema20_slope,+,0.6433212488583773,0.5004459309425413,0.4576848226993185,-8.0,165.0,-10.0,195.0,0.08266993263931414,0.09887885393958268,225.0,1.0,54,0.4814567779772845,TEST FURTHER,0.6433212488583773,pullback_depth_32
linreg_slope_20,+,0.6222969076141331,0.4967454995420006,0.46507605279464526,-7.0,150.0,-9.0,180.0,0.08144519289650949,0.09887885393958268,270.0,0.9444444444444444,54,0.48206811639182506,TEST FURTHER,0.6222969076141331,pullback_depth_32
