feature,offset,auc,p,q
atr_pct,-8,0.49988962374213636,0.9748498131375258,0.981888439947183
atr_pct,-7,0.4994517852701915,0.8755702592780494,0.9198953291256601
atr_pct,-6,0.5005043517211167,0.8854543369577739,0.9217976119821601
atr_pct,-5,0.5003607301474525,0.9179348214049329,0.9399446309089993
atr_pct,-4,0.5013741380443824,0.6946906435973708,0.7621538863928462
atr_pct,-3,0.5019806809758487,0.5715665919177039,0.6508860373266914
atr_pct,-2,0.5027728236921164,0.42835636929159204,0.5023880490921734
atr_pct,-1,0.5081176044313551,0.020414005093470203,0.041573046869183845
atr_pct,0,0.5318353389589765,9.61212396236957e-20,1.78785505700074e-18
atr_pctile_480,-8,0.4999435933900745,0.9871644664436332,0.9871644664436332
atr_pctile_480,-7,0.5000643133935171,0.9853653573791303,0.9871644664436332
atr_pctile_480,-6,0.5013795112952549,0.6939757451488708,0.7621538863928462
atr_pctile_480,-5,0.5016376470520194,0.640434574007601,0.7175953660567095
atr_pctile_480,-4,0.5028178735289944,0.42156032605928484,0.49837004648534095
atr_pctile_480,-3,0.5033923842669323,0.33325422969048024,0.42071461576309493
atr_pctile_480,-2,0.5040632677769975,0.24648445331825142,0.33221817621155625
atr_pctile_480,-1,0.5087086168855571,0.012995761895573384,0.027677996708892934
atr_pctile_480,0,0.5271341703118759,9.996659093959839e-15,1.3945339436073976e-13
bb_width,-8,0.4896051354149138,0.00298662070073831,0.007121941670991355
bb_width,-7,0.4886583940640236,0.001197259347326007,0.0030645445679262015
bb_width,-6,0.48737826218247693,0.0003119372263459594,0.0008972215067064194
bb_width,-5,0.4868250012213488,0.00016774716853945335,0.0004978878725798669
bb_width,-4,0.48799118326886826,0.0006033394148590358,0.001634288317919136
bb_width,-3,0.48853252979638756,0.001054817612027305,0.0027325652431269792
bb_width,-2,0.4877820235146338,0.0004832894353602134,0.0013350272521336587
bb_width,-1,0.4909922509187257,0.010084845336505357,0.02164362960680765
bb_width,0,0.4928627516556564,0.041486498899545546,0.07716488795315471
hv_48,-8,0.5042700741997049,0.22258780284473112,0.31050998496839993
hv_48,-7,0.5038672301356913,0.2693284624801989,0.35113383659801634
hv_48,-6,0.5050505588148313,0.14913057668102533,0.2249050318594923
hv_48,-5,0.504629824252429,0.18602379161142546,0.2703158221853526
hv_48,-4,0.5046383711810735,0.18521236962533072,0.2703158221853526
hv_48,-3,0.5047016601698951,0.17928702094771165,0.26326883602321866
hv_48,-2,0.5043023117770796,0.21911429284315576,0.30875195809717404
hv_48,-1,0.507500632286753,0.03215822072416801,0.06103499035403317
hv_48,0,0.5140401057778544,6.062046515286377e-05,0.00019666406718196503
donchian_width_96,-8,0.5103552109575998,0.0030868936019305656,0.007298672160496846
donchian_width_96,-7,0.5095915211452171,0.00612968540419199,0.013791792159431979
donchian_width_96,-6,0.509429692427175,0.007048499904104983,0.015732251785962322
donchian_width_96,-5,0.509043562747876,0.009759358499660264,0.02110744977833499
donchian_width_96,-4,0.5091494883704473,0.008934687764216291,0.01962817233241217
donchian_width_96,-3,0.5083193883444923,0.017436827497509348,0.03657800655492563
donchian_width_96,-2,0.5077959725243762,0.025891911546750787,0.05123293135846432
donchian_width_96,-1,0.5090740914421346,0.009510634810738206,0.020730211814030935
donchian_width_96,0,0.524584334286488,2.0841457131876586e-12,2.1536172369605805e-11
range_compression_24v96,-8,0.4800018104108778,1.115741808991431e-08,6.225839294172185e-08
range_compression_24v96,-7,0.4800844625532443,1.2814754138929484e-08,7.010424323061423e-08
range_compression_24v96,-6,0.4813674367095033,1.025997906238193e-07,4.93540372138717e-07
range_compression_24v96,-5,0.4809069681015857,4.936496819214895e-08,2.5505233565943627e-07
range_compression_24v96,-4,0.4829563587440232,1.1261312456226476e-06,4.833701808134134e-06
range_compression_24v96,-3,0.48347780683549224,2.3669417541430933e-06,9.856369394118253e-06
range_compression_24v96,-2,0.482757291452428,8.432977440323194e-07,3.6762511028908925e-06
range_compression_24v96,-1,0.48455081705722686,1.0205057240857826e-05,3.847582392161261e-05
range_compression_24v96,0,0.5011366585786234,0.745434250134472,0.8061091309593709
rel_volume,-8,0.4964971389275733,0.3170539193029249,0.40391800678317835
rel_volume,-7,0.48947762760381014,0.002651187489639982,0.006432011387909173
rel_volume,-6,0.49362473761104975,0.06860976090126783,0.11810402998561863
rel_volume,-5,0.49488993184371,0.1443999172129697,0.22136031265065134
rel_volume,-4,0.49706268122956754,0.4014733992413466,0.489131346673955
rel_volume,-3,0.49486689207840195,0.14259886833465052,0.22109467005026395
rel_volume,-2,0.5039852662108171,0.25498621290724044,0.33865607474433856
rel_volume,-1,0.5254549851035654,3.573237314808782e-13,3.834358503198655e-12
rel_volume,0,0.567237134572937,1.5035471432986306e-82,8.389793059606359e-81
volume_z,-8,0.4963776553279256,0.3008285644815879,0.38500536463469276
